"ID","Grade","Treatment","IQPre","IQ8"
125,3,1,103,88
126,3,1,93,92
127,3,1,115,109
128,3,0,99,87
129,3,0,78,79
130,3,0,102,85
131,3,0,104,106
132,3,0,94,99
133,3,0,113,109
134,3,0,110,136
135,3,0,104,112
136,3,0,92,96
137,3,0,121,105
138,3,0,111,100
139,3,0,105,103
140,3,0,107,108
141,3,0,121,127
142,3,0,78,85
143,3,1,88,97
144,3,0,85,96
145,3,0,104,126
146,3,0,108,142
147,3,0,117,126
148,3,0,95,104
149,3,0,109,119
150,3,0,101,104
151,3,0,103,120
152,3,0,125,132
153,3,0,108,141
154,3,0,85,105
155,3,0,90,86
156,3,1,106,129
157,3,1,79,86
158,3,1,104,108
159,3,1,106,107
160,3,1,105,125
161,3,1,112,120
162,3,1,94,103
163,3,1,96,104
164,4,0,101,103
165,4,0,115,112
166,4,0,68,74
167,4,0,85,97
168,4,0,94,92
169,4,0,68,63
170,4,0,105,106
171,4,0,100,102
172,4,0,117,110
173,4,0,90,85
174,4,0,84,103
175,4,0,80,73
176,4,0,89,102
177,4,1,86,100
178,4,1,90,100
179,4,1,90,102
180,4,1,89,85
181,4,0,100,93
182,4,0,101,102
183,4,0,103,93
184,4,0,94,100
185,4,0,96,97
186,4,0,113,112
187,4,0,117,110
188,4,0,125,105
189,4,0,106,114
190,4,0,105,104
191,4,0,106,90
192,4,0,81,111
193,4,0,97,88
194,4,0,77,90
195,4,0,114,112
196,4,0,111,117
197,4,1,90,93
198,4,1,107,117
199,4,1,95,81
200,4,0,123,119
201,4,0,108,125
202,4,0,132,117
203,4,0,154,153
204,4,0,119,122
205,4,0,135,119
206,4,0,120,114
207,4,0,121,162
208,4,0,146,149
209,4,0,149,139
210,4,0,91,93
211,4,0,97,125
212,4,0,120,121
213,4,0,105,116
214,4,0,120,142
215,4,0,131,140
216,4,0,116,135
217,4,0,110,135
218,4,1,109,122
219,4,1,127,155
220,4,1,134,127
221,4,1,158,165
222,4,1,137,132
223,5,0,91,78
224,5,0,67,85
225,5,0,80,103
226,5,0,97,112
227,5,0,85,83
228,5,0,103,120
229,5,0,85,96
230,5,0,83,114
231,5,0,56,83
232,5,0,86,110
233,5,1,78,104
234,5,1,92,121
235,5,1,90,89
236,5,1,85,96
237,5,0,96,119
238,5,0,133,143
239,5,0,120,148
240,5,0,126,171
241,5,0,98,118
242,5,0,101,123
243,5,0,125,131
244,5,0,98,92
245,5,0,106,113
246,5,0,94,118
247,5,0,106,141
248,5,0,101,111
249,5,0,90,123
250,5,0,99,113
251,5,0,107,135
252,5,1,123,145
253,5,1,110,116
254,5,1,139,159
255,5,1,110,100
256,5,1,111,165
257,6,0,62,63
258,6,0,79,81
259,6,0,80,100
260,6,0,83,80
261,6,0,107,106
262,6,0,68,71
263,6,0,81,91
264,6,0,106,123
265,6,0,68,76
266,6,0,74,85
267,6,0,96,104
268,6,1,90,94
269,6,1,75,82
270,6,1,93,101
271,6,0,104,127
272,6,0,112,120
273,6,0,92,92
274,6,0,100,118
275,6,0,94,86
276,6,0,93,102
277,6,0,107,119
278,6,0,122,129
279,6,0,108,110
280,6,0,88,96
281,6,0,98,112
282,6,0,84,86
283,6,0,77,90
284,6,1,75,85
285,6,1,140,158
286,6,1,88,103
287,6,1,86,81
288,6,0,125,148
289,6,0,106,123
290,6,0,82,86
291,6,0,152,150
292,6,0,93,109
293,6,0,103,109
294,6,0,94,109
295,6,0,111,133
296,6,0,115,114
297,6,0,108,139
298,6,0,124,123
299,6,0,104,133
300,6,0,107,120
301,6,0,98,109
302,6,0,95,103
303,6,0,139,148
304,6,0,98,141
305,6,0,115,126
306,6,0,80,105
307,6,1,128,135
308,6,1,107,123
309,6,1,104,119
310,6,1,125,140
